               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10138,            0.028164,            0.049054,             0.29063,             0.04399,             0.15344,            0.062817,             0.07749,            0.015194,            0.040754,              0.0757,              0.0027,              0.0027
                   1,            0.072857,            0.029711,            0.038691,               0.198,             0.52669,             0.31776,             0.15503,            0.067993,            0.013988,            0.031528,            0.050391,           0.0053911,           0.0053911
                   2,             0.06673,            0.026604,            0.030888,              0.2371,             0.47157,             0.36015,             0.18023,            0.066369,            0.010327,            0.026857,            0.024971,           0.0079713,           0.0079713
                   3,            0.065829,            0.024449,            0.026751,             0.30924,             0.62427,             0.46438,             0.21504,            0.058611,            0.010137,             0.02318,            0.009406,            0.009406,            0.009406
                   4,             0.05984,            0.023465,            0.024288,             0.32092,             0.60186,             0.47428,               0.211,            0.062229,            0.010577,             0.02042,            0.009406,            0.009406,            0.009406
                   5,            0.056188,            0.022073,            0.022146,             0.33471,             0.59063,             0.42743,             0.25283,            0.052042,            0.010372,            0.019178,            0.009208,            0.009208,            0.009208
                   6,            0.050947,            0.022238,             0.01906,             0.45201,             0.62714,             0.56488,              0.3487,             0.05309,           0.0098631,            0.017027,             0.00901,             0.00901,             0.00901
                   7,            0.048224,            0.021487,            0.018914,             0.45342,             0.57343,              0.5125,              0.3268,            0.047093,           0.0097466,            0.019592,            0.008812,            0.008812,            0.008812
                   8,            0.045896,            0.020274,            0.016252,               0.543,             0.57962,             0.53193,             0.33384,            0.049334,            0.010377,            0.019532,            0.008614,            0.008614,            0.008614
                   9,            0.043856,            0.019984,            0.015664,             0.43531,             0.63991,             0.53049,             0.33479,            0.046455,            0.010588,            0.019591,            0.008416,            0.008416,            0.008416
                  10,            0.042447,            0.021212,            0.015535,             0.50095,             0.57429,             0.51627,             0.33773,            0.043672,            0.010301,            0.016502,            0.008218,            0.008218,            0.008218
                  11,            0.042056,            0.020781,            0.013855,             0.48295,             0.59785,             0.53021,             0.35749,            0.045597,            0.010847,            0.020797,             0.00802,             0.00802,             0.00802
                  12,            0.040672,            0.019896,            0.013058,             0.55563,             0.60703,             0.58599,             0.41305,            0.043715,            0.010355,            0.015445,            0.007822,            0.007822,            0.007822
                  13,             0.03866,            0.019306,             0.01343,             0.50477,             0.64924,             0.58484,              0.4169,            0.044933,            0.010463,            0.017459,            0.007624,            0.007624,            0.007624
                  14,            0.038232,            0.020456,            0.011804,             0.53238,             0.63487,             0.56815,             0.39226,            0.043553,             0.01067,            0.020066,            0.007426,            0.007426,            0.007426
                  15,            0.038687,             0.01951,            0.012291,             0.54183,              0.6168,             0.58988,             0.40456,            0.040889,             0.01056,            0.022983,            0.007228,            0.007228,            0.007228
                  16,            0.035306,            0.018502,            0.011981,             0.61009,             0.57483,              0.6025,              0.3953,            0.043147,            0.011181,             0.01964,             0.00703,             0.00703,             0.00703
                  17,            0.037107,            0.017612,             0.01054,             0.64152,              0.5848,             0.61775,             0.43487,            0.041048,            0.010816,            0.017923,            0.006832,            0.006832,            0.006832
                  18,            0.034657,            0.018642,            0.011767,             0.66459,             0.62669,             0.68511,             0.49277,            0.040035,            0.010445,            0.015501,            0.006634,            0.006634,            0.006634
                  19,            0.034482,            0.017788,            0.011362,             0.62568,             0.65462,             0.67216,             0.47316,            0.041377,            0.010423,            0.017404,            0.006436,            0.006436,            0.006436
                  20,            0.034256,            0.017612,           0.0095902,             0.71738,             0.55687,             0.66145,              0.4704,            0.039227,            0.010131,            0.018574,            0.006238,            0.006238,            0.006238
                  21,            0.033326,            0.017594,           0.0097298,             0.64728,             0.59402,             0.63048,             0.44837,            0.041048,            0.010835,            0.014456,             0.00604,             0.00604,             0.00604
                  22,            0.033365,            0.018516,            0.008965,             0.73387,               0.576,             0.63137,             0.45144,            0.040592,            0.011093,            0.016989,            0.005842,            0.005842,            0.005842
                  23,            0.032506,            0.017365,           0.0082165,             0.62171,             0.61131,             0.64201,             0.47418,            0.040467,            0.011154,            0.016349,            0.005644,            0.005644,            0.005644
                  24,            0.031783,             0.01759,           0.0085078,             0.64746,             0.61335,             0.64368,             0.46931,            0.041653,             0.01134,            0.015142,            0.005446,            0.005446,            0.005446
                  25,            0.031172,            0.017904,           0.0086337,              0.7116,             0.58939,             0.66674,             0.48196,            0.039987,            0.011185,            0.016584,            0.005248,            0.005248,            0.005248
                  26,            0.030105,            0.016676,           0.0087053,             0.61254,             0.64685,             0.64904,             0.47413,            0.039929,            0.011235,            0.017275,             0.00505,             0.00505,             0.00505
                  27,            0.030556,            0.017085,           0.0081407,             0.64988,             0.63296,             0.66479,             0.49065,             0.03946,            0.011191,            0.015128,            0.004852,            0.004852,            0.004852
                  28,            0.029241,            0.015862,           0.0088237,             0.67669,              0.6695,             0.67734,             0.48328,            0.039852,            0.011403,            0.013696,            0.004654,            0.004654,            0.004654
                  29,             0.03067,            0.016453,           0.0070193,             0.62674,             0.66538,             0.66462,             0.48243,            0.039237,            0.011612,             0.01335,            0.004456,            0.004456,            0.004456
                  30,            0.029161,            0.017134,           0.0077516,             0.60123,             0.66223,             0.63496,             0.47228,            0.039178,            0.012102,            0.017987,            0.004258,            0.004258,            0.004258
                  31,            0.028872,            0.016232,           0.0078598,             0.65456,             0.59736,             0.62997,             0.46614,            0.039498,            0.012195,            0.020051,             0.00406,             0.00406,             0.00406
                  32,            0.027594,            0.015309,           0.0077115,             0.69235,              0.6304,              0.6747,             0.50173,            0.038349,             0.01156,            0.018096,            0.003862,            0.003862,            0.003862
                  33,            0.027764,            0.015494,           0.0070808,             0.66747,             0.62675,             0.66819,             0.50855,            0.038437,            0.011464,            0.018157,            0.003664,            0.003664,            0.003664
                  34,            0.027622,            0.015836,           0.0077093,             0.70612,             0.60933,             0.67546,             0.50437,            0.038097,            0.011298,            0.016065,            0.003466,            0.003466,            0.003466
                  35,            0.026813,            0.015733,           0.0071236,             0.72041,             0.61222,             0.65757,             0.49249,            0.037614,            0.011628,            0.016925,            0.003268,            0.003268,            0.003268
                  36,            0.025783,            0.014669,           0.0064004,             0.72587,             0.60551,               0.653,              0.4833,            0.038249,            0.012161,            0.017812,             0.00307,             0.00307,             0.00307
                  37,            0.025729,            0.015049,           0.0062523,             0.66535,             0.63273,             0.64719,             0.47824,            0.039136,            0.012148,             0.01851,            0.002872,            0.002872,            0.002872
                  38,            0.024916,            0.013493,           0.0056598,             0.63045,             0.65512,             0.64822,             0.48777,            0.038269,            0.012232,            0.017357,            0.002674,            0.002674,            0.002674
                  39,            0.025432,             0.01491,           0.0057836,             0.71193,             0.62509,             0.65386,             0.47699,            0.038143,            0.012226,            0.016581,            0.002476,            0.002476,            0.002476
                  40,            0.024578,            0.014112,           0.0060758,             0.68276,             0.66271,             0.66461,             0.49403,            0.037558,            0.011909,            0.016784,            0.002278,            0.002278,            0.002278
                  41,            0.023914,            0.013915,           0.0061543,             0.69722,             0.63365,             0.66821,             0.49773,            0.037344,            0.012131,            0.015584,             0.00208,             0.00208,             0.00208
                  42,            0.024147,            0.014263,           0.0054507,             0.67281,             0.64663,             0.66862,             0.49607,            0.037211,            0.012295,            0.015729,            0.001882,            0.001882,            0.001882
                  43,            0.023445,            0.014577,           0.0052306,             0.69924,             0.59908,             0.64248,             0.48862,            0.037149,            0.012041,            0.017259,            0.001684,            0.001684,            0.001684
                  44,             0.02294,            0.014134,           0.0053383,             0.75534,              0.5993,             0.65928,             0.49085,            0.036754,            0.012032,             0.01661,            0.001486,            0.001486,            0.001486
                  45,            0.023543,            0.013879,           0.0056087,             0.72201,             0.65922,             0.66742,             0.49784,            0.036873,            0.011993,            0.016322,            0.001288,            0.001288,            0.001288
                  46,             0.02211,            0.013862,           0.0052677,             0.66092,             0.66604,             0.67387,             0.50653,            0.037149,            0.012353,            0.017012,             0.00109,             0.00109,             0.00109
                  47,             0.02278,            0.013892,           0.0040559,             0.74278,              0.6379,             0.68031,             0.51097,            0.037335,            0.012382,            0.017231,            0.000892,            0.000892,            0.000892
                  48,            0.021824,            0.013339,           0.0046361,              0.7206,             0.65451,             0.68119,              0.5191,            0.037326,            0.012452,            0.017152,            0.000694,            0.000694,            0.000694
                  49,            0.022981,            0.013686,             0.00455,             0.70064,             0.66185,             0.67302,              0.5139,            0.037225,            0.012436,            0.017545,            0.000496,            0.000496,            0.000496
